split,subgroup,att,se,ci_low,ci_high,p_value,n_treated_tracts,n_never_treated_tracts,n_event_study_periods
income,low,6.623219099642002,0.4882515836343688,5.666245995718639,7.580192203565365,0.0,116,150,48
income,high,6.575329086185216,0.4800563021858325,5.634418733900985,7.516239438469448,0.0,116,150,48
renter_share,low,4.879220373678965,0.47097479444076434,3.956109776575067,5.802330970782863,0.0,115,150,48
renter_share,high,6.722857650631252,0.5087176456817797,5.725771065094964,7.7199442361675406,0.0,113,150,48
airbnb_density,low,4.505516998757758,0.487454423734349,3.550106328238434,5.4609276692770825,0.0,118,150,48
airbnb_density,high,6.818462848072436,0.4686093645878971,5.899988493480158,7.736937202664714,0.0,115,150,48
dose,low,4.100840555199232,0.5076424539703982,3.1058613454172517,5.095819764981212,6.661338147750939e-16,104,150,48
dose,high,6.771569950250216,0.4852429039688752,5.82049385847122,7.722646042029211,0.0,125,150,48
cohort_timing,early,5.327481599495817,0.457784859156885,4.430223275548323,6.224739923443312,0.0,144,150,48
cohort_timing,late,7.281712635532872,0.5671191609517106,6.17015908006752,8.393266190998226,0.0,100,150,48
